'CN=Audi Leads,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|audileadbox@cobaltgroup.com|Audi Leads'
'CN=Audi Leads,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|audileadbox@exchange.Cobaltgroup.com|Audi Leads'
'CN=Audi Leads,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|audileadbox@cobalt.com|Audi Leads'
'CN=Audi Leads,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|audileadbox@main.cobaltgroup.com|Audi Leads'
'CN=DCXSpotFeed,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|DCXSpotFeed@cobaltgroup.com|DCXSpotFeed'
'CN=DCXSpotFeed,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|DCXSpotFeed@exchange.Cobaltgroup.com|DCXSpotFeed'
'CN=DCXSpotFeed,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|DCXSpotFeed2@cobalt.com|DCXSpotFeed'
'CN=DCXSpotFeed,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|DCXSpotFeed@main.cobaltgroup.com|DCXSpotFeed'
'CN=List- 3rd Party GreatData,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|3rdPartyGreatData@cobalt.com|List- 3rd Party GreatData'
'CN=List- 3rd Party GreatData,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|3rdPartyGreatData@exchange.Cobaltgroup.com|List- 3rd Party GreatData'
'CN=List- 3rd Party GreatData,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|3rdPartyGreatData@main.cobaltgroup.com|List- 3rd Party GreatData'
'CN=List- 3rd Party GreatData,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|3rdPartyGreatData@cobaltgroup.com|List- 3rd Party GreatData'
'CN=List- 4square,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|List-4square@cobalt.com|List- 4square'
'CN=List- 4square,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|List-4square@exchange.Cobaltgroup.com|List- 4square'
'CN=List- 4square,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|List-4square@main.cobaltgroup.com|List- 4square'
'CN=List- 4square,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|List-4square@cobaltgroup.com|List- 4square'
'CN=List- ABU all,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|abuall@cobaltgroup.com|List- ABU all'
'CN=List- ABU all,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|abuall@exchange.Cobaltgroup.com|List- ABU all'
'CN=List- ABU all,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|abuall@cobalt.com|List- ABU all'
'CN=List- ABU all,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|abuall@main.cobaltgroup.com|List- ABU all'
'CN=List- ABU Eng Directors,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUEngDirectors@cobalt.com|List- ABU Eng Directors'
'CN=List- ABU Eng Directors,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUEngDirectors@exchange.Cobaltgroup.com|List- ABU Eng Directors'
'CN=List- ABU Eng Directors,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUEngDirectors@main.cobaltgroup.com|List- ABU Eng Directors'
'CN=List- ABU Eng Directors,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUEngDirectors@cobaltgroup.com|List- ABU Eng Directors'
'CN=List- ABU Engineering,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|listabuengineering@cobalt.com|List- ABU Engineering'
'CN=List- ABU Engineering,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|listabuengineering@exchange.Cobaltgroup.com|List- ABU Engineering'
'CN=List- ABU Engineering,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|listabuengineering@main.cobaltgroup.com|List- ABU Engineering'
'CN=List- ABU Engineering,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|listabuengineering@cobaltgroup.com|List- ABU Engineering'
'CN=List- ABU Go No-Go,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUGoNoGo@exchange.Cobaltgroup.com|List- ABU Go No-Go'
'CN=List- ABU Go No-Go,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUGoNoGo@main.cobaltgroup.com|List- ABU Go No-Go'
'CN=List- ABU Go No-Go,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUGoNoGo@cobalt.com|List- ABU Go No-Go'
'CN=List- ABU Go No-Go,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUGoNoGo@cobaltgroup.com|List- ABU Go No-Go'
'CN=List- ABU IT,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT@main.cobaltgroup.com|List- ABU IT'
'CN=List- ABU IT,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT@exchange.Cobaltgroup.com|List- ABU IT'
'CN=List- ABU IT,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT@cobaltgroup.com|List- ABU IT'
'CN=List- ABU IT,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|List-ABUIT@exchange.Cobaltgroup.com|List- ABU IT'
'CN=List- ABU IT,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT@cobalt.com|List- ABU IT'
'CN=List- ABU IT,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|List-ABUIT@main.cobaltgroup.com|List- ABU IT'
'CN=List- ABU IT CCB,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT-CCB@cobalt.com|List- ABU IT CCB'
'CN=List- ABU IT CCB,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT-CCB@exchange.Cobaltgroup.com|List- ABU IT CCB'
'CN=List- ABU IT CCB,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT-CCB@main.cobaltgroup.com|List- ABU IT CCB'
'CN=List- ABU IT CCB,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUIT-CCB@cobaltgroup.com|List- ABU IT CCB'
'CN=List- ABU IT Change Management,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUITChangeManagement@exchange.Cobaltgroup.com|List- ABU IT Change Management'
'CN=List- ABU IT Change Management,CN=Recipients,CN=Users,DC=main,DC=cobaltgroup,DC=com|ABUITChangeManagement@main.cobaltgroup.com|List- ABU IT Change Management'
